Order,Fuel Pathway Code,Group,Feedstock Sources,Process Type,Fuel type,Energy  used  in  the process
56,CNG_bCO2_ibpH2_M_gm,CNG,H2: Industrial by- product hydrogen,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
50,CNG_fCO2_ibpH2_M_gm,CNG,H2: Industrial by- product hydrogen,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
53,CNG_rCO2_ibpH2_M_gm,CNG,H2: Industrial by- product hydrogen,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
75,"FT-
Diesel_bCO2_ibpH2_FT_gm",Diesel,H2: Industrial by- product hydrogen,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
69,"FT-
Diesel_fCO2_ibpH2_FT_gm",Diesel,H2: Industrial by- product hydrogen,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
72,"FT-
Diesel_rCO2_ibpH2_FT_gm",Diesel,H2: Industrial by- product hydrogen,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
113,LH2_ _ibp_gm _Liquefied,Hydrogen,H2: Industrial by- product hydrogen,"",Hydrogen,Grid mix electricity
37,LNG_fCO2_ibpH2_M_gm,LNG,H2: Industrial by- product hydrogen,Methanation and liquefaction,Liquefied Natural     Gas (Methane),Grid mix electricity
40,LNG_rCO2_ibpH2_M_gm,LNG,H2: Industrial by- product hydrogen,Methanation and liquefaction,Liquefied Natural     Gas (Methane),Grid mix electricity
43,LNG_bCO2_ibpH2_M_gm,LNG,H2: Industrial by- product hydrogen,Methanation and liquefaction,Liquefied Natural Gas (Methane),Grid mix electricity
30,LPG(Butane)_bCO2_ibpH2_ FT_gm,LPG,H2: Industrial by- product hydrogen,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
24,LPG(Butane)_fCO2_ibpH2_F T_gm,LPG,H2: Industrial by- product hydrogen,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
27,LPG(Butane)_rCO2_ibpH2_F T_gm,LPG,H2: Industrial by- product hydrogen,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
20,"LPG(Propane)_bCO2_ibpH2
_FT_gm",LPG,H2: Industrial by- product hydrogen,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
14,LPG(Propane)_fCO2_ibpH2_ FT_gm,LPG,H2: Industrial by- product hydrogen,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
17,LPG(Propane)_rCO2_ibpH2_ FT_gm,LPG,H2: Industrial by- product hydrogen,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
100,MeOH_bCO2_ibpH2_MS_gm,Methanol,H2: Industrial by- product hydrogen,Methanol Synthesis,Methanol,Grid mix electricity
94,MeOH_fCO2_ibpH2_MS_gm,Methanol,H2: Industrial by- product hydrogen,Methanol Synthesis,Methanol,Grid mix electricity
97,MeOH_rCO2_ibpH2_MS_gm,Methanol,H2: Industrial by- product hydrogen,Methanol Synthesis,Methanol,Grid mix electricity
123,NH3_gmN2_fH2_EL_n,Ammonia,N2: separated with grid mix electricity,Thermochemical Cycles or Electrolysis,Ammonia,Nuclear
125,NH3_gmN2_ibpH2_EL_n,Ammonia,N2: separated with grid mix electricity,Thermochemical Cycles or Electrolysis,Ammonia,Nuclear
124,NH3_gmN2_rH2_EL_n,Ammonia,N2: separated with grid mix electricity,Thermochemical Cycles or Electrolysis,Ammonia,Nuclear
121,NH3_rN2_fH2_HB_gm,Ammonia,N2: separated with renewable electricity,Haber Bosch process,Ammonia,Grid mix electricity
122,NH3_rN2_ibpH2_HB_gm,Ammonia,N2: separated with renewable electricity,Haber Bosch process,Ammonia,Grid mix electricity
120,NH3_rN2_rH2_HB_gm,Ammonia,N2: separated with renewable electricity,Haber Bosch process,Ammonia,Grid mix electricity
112,LH2_EL_n_Liquefied,Hydrogen,Nuclear electricity water,Thermochemical Cycles or Electrolysis and liquefaction,Hydrogen,Nuclear
9,"MDO/MGO(ULSFO)_f_r_CP
_gm",Diesel/Gas oil (ULSFO),Recycled carbon,CoProcessing (CP) in refinery,"Co-processed marine fuel (ISO 8217
Grades DMX, DMA, DMZ
and DMB
maximum
0.10 % S)",Grid mix electricity
10,"MDO/MGO(VLSFO)_f_r_CP
_gm",Diesel/Gas oil (VLSFO),Recycled carbon,CoProcessing (CP) in refinery,"Co-processed marine fuel (ISO 8217
Grades DMX, DMA, DMZ
and DMB,
0.10 < S ≤
0.50%)",Grid mix electricity
127,Electricity_renewable,Electricity,Renewable,Dedicated Photovoltaic and/or Wind and/or other,Electricity,Renewable electricity
110,LH2_EL_r_Liquefied,Hydrogen,Renewable electricity water,"Dedicated Photovoltaic and/or Wind and/or other Electrolysis and
liquefaction",Hydrogen,Renewable electricity
